NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNF	5421	1.6012693643569946	-0.26560667	No	
row_1	HLA-DOB	6551	0.9144876003265381	-0.315969	No	
row_2	HLA-DRA	8196	0.26069432497024536	-0.39843598	No	
row_3	HLA-DPB1	9907	-0.10318708419799805	-0.48564598	No	
row_4	IL12A	10085	-0.14733490347862244	-0.49350777	No	
row_5	HLA-DOA	10533	-0.25667181611061096	-0.5143462	No	
row_6	HLA-DQA1	11040	-0.39926543831825256	-0.5370081	No	
row_7	CD28	11062	-0.4049569368362427	-0.534637	No	
row_8	HLA-DRB5	11195	-0.4428495466709137	-0.53766084	No	
row_9	HLA-DPA1	11338	-0.4878474175930023	-0.5408161	No	
row_10	HLA-DRB1	11667	-0.5896677374839783	-0.55268496	No	
row_11	CD86	11781	-0.6264868974685669	-0.55316424	No	
row_12	GZMB	12109	-0.7315313816070557	-0.5637719	No	
row_13	FAS	12254	-0.7871719598770142	-0.56447804	No	
row_14	HLA-DQB1	12318	-0.8129659295082092	-0.5607915	No	
row_15	HLA-DMB	12401	-0.8533326387405396	-0.55773956	No	
row_16	HLA-DRB4	12473	-0.8859227299690247	-0.5538431	No	
row_17	PRF1	12495	-0.8920127749443054	-0.54731894	No	
row_18	CD40LG	13316	-1.2492592334747314	-0.57890874	No	
row_19	HLA-C	17715	-6.713386058807373	-0.74822646	Yes	
row_20	HLA-E	18126	-8.181218147277832	-0.6995884	Yes	
row_21	CD40	18439	-9.617941856384277	-0.63365144	Yes	
row_22	HLA-DMA	18630	-10.674253463745117	-0.5524228	Yes	
row_23	HLA-F	18704	-11.204244613647461	-0.46064788	Yes	
row_24	HLA-B	19170	-17.705915451049805	-0.33362868	Yes	
row_25	HLA-A	19184	-18.035036087036133	-0.18051861	Yes	
row_26	HLA-G	19305	-22.699440002441406	0.006851478	Yes	
