NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGT2A3	125	21.287513732910156	0.22505537	Yes	
row_1	ALDH1B1	283	16.22819709777832	0.39344534	Yes	
row_2	UGDH	710	11.252640724182129	0.4938775	Yes	
row_3	UGT1A8	1101	8.949055671691895	0.57111293	Yes	
row_4	ALDH3A2	1723	6.776504039764404	0.6128285	Yes	
row_5	ALDH9A1	2581	4.921307563781738	0.62221795	Yes	
row_6	UGT1A10	2632	4.82890510559082	0.67215544	Yes	
row_7	UGT1A1	2664	4.759121894836426	0.72231245	Yes	
row_8	UGT1A7	4105	2.809715509414673	0.67872024	No	
row_9	UGT1A6	5126	1.8409981727600098	0.6462198	No	
row_10	UGT2B7	5973	1.2526719570159912	0.6162809	No	
row_11	UGT2B17	6288	1.060178518295288	0.61164176	No	
row_12	UGT1A3	6367	1.0076926946640015	0.6185837	No	
row_13	UGT1A9	6655	0.8550965785980225	0.61310464	No	
row_14	ALDH7A1	6790	0.7883329391479492	0.6147777	No	
row_15	UGT2B15	8497	0.17770089209079742	0.528867	No	
row_16	ALDH2	9705	-0.061274610459804535	0.46738413	No	
row_17	MIOX	15634	-3.101090669631958	0.19587044	No	
