NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DOB	6551	0.9144876003265381	-0.3295213	No	
row_1	HLA-DRA	8196	0.26069432497024536	-0.41194597	No	
row_2	HLA-DPB1	9907	-0.10318708419799805	-0.49913356	No	
row_3	HLA-DOA	10533	-0.25667181611061096	-0.5291051	No	
row_4	HLA-DQA1	11040	-0.39926543831825256	-0.5517129	No	
row_5	CD28	11062	-0.4049569368362427	-0.54928935	No	
row_6	HLA-DRB5	11195	-0.4428495466709137	-0.55225533	No	
row_7	HLA-DPA1	11338	-0.4878474175930023	-0.55534697	No	
row_8	HLA-DRB1	11667	-0.5896677374839783	-0.56713796	No	
row_9	CD86	11781	-0.6264868974685669	-0.56753576	No	
row_10	GZMB	12109	-0.7315313816070557	-0.5780473	No	
row_11	FAS	12254	-0.7871719598770142	-0.578651	No	
row_12	HLA-DQB1	12318	-0.8129659295082092	-0.57485926	No	
row_13	HLA-DMB	12401	-0.8533326387405396	-0.57169676	No	
row_14	HLA-DRB4	12473	-0.8859227299690247	-0.56768554	No	
row_15	PRF1	12495	-0.8920127749443054	-0.5610462	No	
row_16	CD40LG	13316	-1.2492592334747314	-0.5924704	No	
row_17	HLA-C	17715	-6.713386058807373	-0.7608984	Yes	
row_18	HLA-E	18126	-8.181218147277832	-0.7112024	Yes	
row_19	CD40	18439	-9.617941856384277	-0.64402246	Yes	
row_20	HLA-DMA	18630	-10.674253463745117	-0.56141526	Yes	
row_21	HLA-F	18704	-11.204244613647461	-0.46819395	Yes	
row_22	HLA-B	19170	-17.705915451049805	-0.33888724	Yes	
row_23	HLA-A	19184	-18.035036087036133	-0.18344958	Yes	
row_24	HLA-G	19305	-22.699440002441406	0.006850637	Yes	
