NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD6	137	20.667118072509766	0.071599625	Yes	
row_1	PSMB7	262	16.763668060302734	0.1290123	Yes	
row_2	PSMC1	620	11.94204330444336	0.15606157	Yes	
row_3	PSMC4	712	11.206785202026367	0.19402511	Yes	
row_4	PSMB1	887	10.081328392028809	0.2234262	Yes	
row_5	PSMD1	969	9.678352355957031	0.25608778	Yes	
row_6	PSMB2	980	9.621989250183105	0.29219505	Yes	
row_7	PSMB6	982	9.609395027160645	0.3287183	Yes	
row_8	PSMB3	1046	9.253804206848145	0.36069193	Yes	
row_9	PSMD14	1066	9.104570388793945	0.39436585	Yes	
row_10	POMP	1494	7.4861321449279785	0.40084663	Yes	
row_11	PSME3	1517	7.399456977844238	0.42787597	Yes	
row_12	PSMD11	1549	7.27587366104126	0.45397094	Yes	
row_13	PSMC2	1641	7.002008438110352	0.47593045	Yes	
row_14	PSMA2	1911	6.285935401916504	0.4859883	Yes	
row_15	PSMD2	1928	6.246170997619629	0.50893736	Yes	
row_16	PSMB4	1979	6.1383748054504395	0.52972335	Yes	
row_17	PSMD4	2026	6.027520656585693	0.5502936	Yes	
row_18	PSMD12	2102	5.871674537658691	0.5687758	Yes	
row_19	PSMA7	2108	5.859168529510498	0.5908189	Yes	
row_20	PSME2	2148	5.773484706878662	0.6107831	Yes	
row_21	PSMA4	2184	5.674386978149414	0.6305764	Yes	
row_22	PSMA6	2410	5.242480754852295	0.638931	Yes	
row_23	PSMD3	2587	4.917895317077637	0.64857614	Yes	
row_24	PSMB5	2692	4.709503650665283	0.66113985	Yes	
row_25	SEM1	2799	4.540961265563965	0.6729589	Yes	
row_26	PSMA3	2976	4.248687267303467	0.680057	Yes	
row_27	PSMC5	3200	3.9095630645751953	0.68344134	Yes	
row_28	PSMC3	3346	3.6987037658691406	0.69004416	Yes	
row_29	PSMA1	3628	3.3768062591552734	0.6884108	Yes	
row_30	PSMD7	3650	3.3484973907470703	0.7000731	Yes	
row_31	PSMC6	3675	3.3182387351989746	0.7114656	Yes	
row_32	PSME4	3707	3.27435040473938	0.72233015	Yes	
row_33	PSMA5	4531	2.3569629192352295	0.68887407	No	
row_34	PSMD8	4740	2.1592206954956055	0.68636966	No	
row_35	PSMD13	6221	1.1050182580947876	0.614279	No	
row_36	PSMF1	6521	0.927885115146637	0.6023967	No	
row_37	PSME1	13035	-1.113403081893921	0.27087823	No	
row_38	PSMB8	16219	-3.841529369354248	0.121410586	No	
row_39	PSMB9	16394	-4.0702805519104	0.1279327	No	
row_40	PSMB10	17981	-7.603265762329102	0.07511089	No	
