NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLL1	14	40.6618766784668	0.17653975	Yes	
row_1	CCND2	34	30.096559524536133	0.30676332	Yes	
row_2	HDAC2	175	19.345407485961914	0.3838812	Yes	
row_3	NOTCH1	334	15.184926986694336	0.44193405	Yes	
row_4	TP53	363	14.770153045654297	0.5048798	Yes	
row_5	LEF1	862	10.238791465759277	0.52384466	Yes	
row_6	MYC	1378	7.848800182342529	0.53151435	Yes	
row_7	SKP2	1458	7.595127582550049	0.56055236	Yes	
row_8	CUL1	1583	7.169281005859375	0.58541435	Yes	
row_9	FZD1	2197	5.650038719177246	0.5784472	Yes	
row_10	NKD1	2493	5.090309143066406	0.58543175	Yes	
row_11	CTNNB1	3371	3.677701234817505	0.55625814	No	
row_12	MAML1	3807	3.1653995513916016	0.54763466	No	
row_13	GNAI1	4218	2.6742029190063477	0.5381586	No	
row_14	TCF7	4260	2.6414191722869873	0.54756016	No	
row_15	PPARD	5790	1.354653239250183	0.47465122	No	
row_16	AXIN2	5971	1.2537403106689453	0.47083843	No	
row_17	HEY2	5996	1.2401329278945923	0.47500756	No	
row_18	PSEN2	8353	0.21321554481983185	0.35449377	No	
row_19	PTCH1	9481	-0.024009183049201965	0.29650563	No	
row_20	KAT2A	10021	-0.130306214094162	0.26929018	No	
row_21	JAG1	10170	-0.16877537965774536	0.26239708	No	
row_22	WNT5B	10858	-0.34319791197776794	0.22848085	No	
row_23	NCOR2	10866	-0.34483274817466736	0.22962329	No	
row_24	CSNK1E	11105	-0.4181385040283203	0.21917808	No	
row_25	NCSTN	11620	-0.5775468349456787	0.195201	No	
row_26	HEY1	12284	-0.7993500828742981	0.16451043	No	
row_27	DKK1	12314	-0.811555802822113	0.16655347	No	
row_28	DVL2	12633	-0.9525935053825378	0.15431446	No	
row_29	RBPJ	12952	-1.0810648202896118	0.1426355	No	
row_30	NOTCH4	13411	-1.3025031089782715	0.12470539	No	
row_31	FZD8	14336	-1.9144072532653809	0.08542219	No	
row_32	AXIN1	14934	-2.3935446739196777	0.065083414	No	
row_33	JAG2	15642	-3.1118268966674805	0.042205814	No	
row_34	NUMB	17176	-5.435849666595459	-0.013117757	No	
row_35	HDAC5	17425	-5.994194030761719	2.2983036E-4	No	
row_36	FRAT1	17676	-6.624970436096191	0.016224133	No	
row_37	ADAM17	18177	-8.378881454467773	0.026977837	No	
row_38	HDAC11	18251	-8.710074424743652	0.061185654	No	
