NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KDR	3859	3.091765880584717	-0.16853364	No	
row_1	HEY2	5996	1.2401329278945923	-0.26641205	No	
row_2	RAP1A	7040	0.677363395690918	-0.31350565	No	
row_3	RAMP2	8082	0.2923312485218048	-0.36424953	No	
row_4	HEY1	12284	-0.7993500828742981	-0.5727364	No	
row_5	CD34	12291	-0.8025397658348083	-0.56522226	No	
row_6	HIF1AN	14138	-1.771419882774353	-0.6429918	No	
row_7	ASB4	17562	-6.3161540031433105	-0.75764805	Yes	
row_8	RAPGEF2	17938	-7.412097454071045	-0.70470196	Yes	
row_9	ADM	18171	-8.347719192504883	-0.6352735	Yes	
row_10	RIN2	18584	-10.346418380737305	-0.55562896	Yes	
row_11	XDH	18655	-10.876875877380371	-0.45320648	Yes	
row_12	EMP2	18931	-13.515073776245117	-0.33562115	Yes	
row_13	RRAS	18977	-14.124381065368652	-0.20025535	Yes	
row_14	CEACAM1	19312	-22.97298240661621	0.006486884	Yes	
